UniqueID	data_index	current_id	highlight_start	highlight_end	to_do_summary
162996542	746	063-007332-EM	25	31	$59$ $19$ $61$ $530$ $40$ $42$
162996542	746	063-007332-EM	25	31	$59$ $18$ $61$ $530$ $55$ $56$ $57$ $46$
162996543	357	040-009060-EM	21	30	$750$
162996543	357	040-009060-EM	21	30	$231$ $205$ $530$ $265$ $266$ $262$ $215$
162996544	978	068-007778-EM	61	67	$1693$ $349$ $61$ $530$ $56$ $150$ $5169$ $16$ $361$ $122$ $362$ $262$ $364$ $4887$ $46$
162996544	978	068-007778-EM	61	67	$59$ $350$ $61$ $530$ $362$ $122$ $361$
162996545	1067	084-002746-EM	97	103	$1609$ $553$ $165$ $530$ $588$ $590$ $46$
162996545	1067	084-002746-EM	97	103	$1609$ $553$ $165$ $530$ $56$ $612$ $5169$ $16$ $617$ $3604$ $84$ $588$ $606$
162996546	782	063-014712-EM	345	351	$1693$ $2116$ $61$ $530$ $56$ $1188$ $1187$ $1139$ $262$ $1137$ $46$
162996546	782	063-014712-EM	345	351	$1693$ $2115$ $98561$ $530$ $1188$ $1139$ $46$
162996547	453	053-005832-EM	18	51	$5471$ UNK $665$ $1228$ $5$ UNK $665$ $1229$ $46$
162996547	453	053-005832-EM	18	51	$5471$ $1226$ $1228$ $5$ UNK $1229$ $17$ $1230$ $1231$ $46$
162996548	295	031-001748-EM	19	30	$78351$ $354$ $1246$ $240$ $56$ $57$ $1248$ $56$ $1242$ $1244$ $46$
162996548	295	031-001748-EM	19	30	$1609$ $354$ $165$ $530$ $56$ $3178$ $247$ $464$ $1244$ $262$ $56$ $57$
162996549	1311	112-000261-EM	126	134	$3791$ $1358$ $2911$ $82$ $1366$ $16$ $1365$ $530$ $1354$ $1356$ $1325$ $122$ $1327$ $895$
162996549	1311	112-000261-EM	126	134	$3791$ $578$ $262$ $4230$ $530$ $56$ $1325$ $122$ $1327$ $895$ $1329$
162996550	802	063-017184-EM	7	12	$493$ $56$ $1263$ $247$ $1399$ $262$ $1421$ $690$ $247$ $56$ $697$ $46$
162996550	802	063-017184-EM	7	12	$15377$ $16$ $1284$ $1409$ $171$ $1410$ $51$ $1411$ $122$ $151$ $476$ $1242$ $122$ $57$ $1412$ $5$ $56$ $1346$ $46$
162996551	471	055-003153-EM	41	47	$1693$ $204$ $61$ $530$ $1424$ $366$ $46$
162996551	471	055-003153-EM	41	47	$1693$ $204$ $61$ $530$ $56$ $751$ $900$ $247$ $1425$ $366$ $122$ $5177$ $120$ $434$ $87$ $8674$ $460$ $18395$ $398$ $46$
162996552	1086	084-011081-EM	18	29	$140$ $16$ $1532$ $262$ $979$ $109$ $233$ $1551$ $262$ UNK
162996552	1086	084-011081-EM	18	29	$1329$ $16$ $1531$ $1136$ $167$ $979$ $109$ $247$ $335$ $684$ $810$ $56$ $1538$ $1540$ $46$
162996553	1181	093-005467-EM	31	37	$10255$ $233$ $1594$ $262$ $5945$ $16$ $368$ $122$ $285$ $520$ $914$ $84$ $224$
162996553	1181	093-005467-EM	31	37	$1365$ $64396$ $1224$ $87$ $21847$ $232$ $1618$ $262$ $1619$ $1593$ $1598$ $233$ $1595$ $46$
162996554	596	058-004366-EM	74	80	$59$ $1644$ $61$ $530$ $423$ $1659$ $1661$ $638$ $262$ $56$ $607$ $247$ $1664$ $1666$ $46$
162996554	596	058-004366-EM	74	80	$59$ $1645$ $61$ $530$ $1660$ $1662$
162996555	1068	084-002774-EM	30	50	$593$ $1953$ $1225$ $82$ $1955$ UNK $1946$ $1948$ $16$ $1941$ $17$ $89$ $1942$ $87$ $2463$ $9607$ $2205$ $5810$ $56$ $1948$ $46$
162996555	1068	084-002774-EM	30	50	$58$ $1284$ $1954$ $1225$ UNK $1955$ $1055$ $247$ $1947$ $1948$ UNK $89$ $1942$ $257$ $1731$ $1952$
162996556	599	059-002445-EM	262	282	UNK $2039$ $16$ $488$ $56$ $2037$ $2040$ $43$ $151$ $122$ $95$ $2041$ $46$
162996556	599	059-002445-EM	262	282	$12054$ $56$ $2037$ $43$ $1057$ $262$ $2028$ $1982$ $262$ $1177$ $247$ $1338$ $122$ $95$ $2041$ $86$ $46$
162996557	864	063-021567-EM	39	58	$3855$ $502$ $56$ $2123$ $2125$ $433$ $16$ $7065$ $1982$ $1225$ $56$ $2127$ $16$ $2108$ $530$ $86$ $46$
162996557	864	063-021567-EM	39	58	$1225$ $2109$ $302$ $433$ $1242$ $7$ $2127$ $642$ $2129$ $642$ $50$ $1201$ $56$ $433$ $16$ $228$ $2130$ $459$ $1982$ $46$
162996558	1173	093-004570-EM	25	31	$26135$
162996558	1173	093-004570-EM	25	31	$750$
162996559	668	062-061487-EM	30	44	$1365$ $40$ $2217$ $2218$ $246$ $2224$ $46$
162996559	668	062-061487-EM	30	44	$10255$ $796$ $1136$ $39$ $2217$ $2218$ $246$ $46$
162996560	960	068-006211-EM	10	30	$436$ $518$ $84$ $313$ $122$ $354$ $2233$ $5169$ $16$ $2229$ $420$ $866$
162996560	960	068-006211-EM	10	30	$4760$ $16$ $1429$ $122$ $1654$ $122$ $2254$ $518$ $84$ $313$ $122$ $354$ $8057$ $1136$ $5357$ $530$ $2229$ $420$ $344$ $865$ $46$
162996561	1091	084-013173-EM	153	175	$12827$ $204$ $1580$ $1241$ $2267$ $2841$ $5$ $92$ $2294$ $122$ $390$ $84$ $16$ $251$ $979$ $1242$ $810$ $56$ $520$ $2285$ $2154$ $46$
162996561	1091	084-013173-EM	153	175	$1609$ $204$ $2841$ $530$ $56$ $1591$ $1263$ $247$ $1580$ $1241$ $122$ $47436$ $56$ $2268$
162996562	427	051-003183-EM	18	34	$3791$ $2300$ $2302$ $262$ $4230$ $530$ $56$ UNK $2310$ $1982$ $247$ $2304$ $2306$ $46$
162996562	427	051-003183-EM	18	34	$11322$ $2299$ $233$ $56$ $2309$ $1981$ $122$ $306$ $1233$ $82$ $222$ $46$
162996563	1285	107-011604-EM	26	48	$5471$ $2321$ $82$ $1815$ $518$ $1038$ $84$ $797$ $247$ $341$ $2326$
162996563	1285	107-011604-EM	26	48	$68$ $56$ $2254$ $327$ $518$ $1038$ $16$ $2322$ $5169$ $16$ $2361$ $247$ $2362$ $84$ $797$ $16$ $2363$ $788$ $262$ $341$
162996564	903	068-002037-EM	41	47	$1693$ $205$ $61$ $530$ $56$ $1424$ $366$ $262$ $15648$ $56$ $474$ $262$ $15273$ $56$ $1425$ $120$ $46$
162996564	903	068-002037-EM	41	47	$1693$ $204$ $61$ $530$ $1424$ $366$ $46$
162996565	391	046-004731-EM	24	39	$10576$ $522$ $1244$ $16$ $2393$ $233$ $404$ $230$ $530$ $758$ $515$ $46$
162996565	391	046-004731-EM	24	39	$10576$ $522$ $56$ $2404$ $16$ $2394$ $46$
162996566	240	020-002860-EM	139	162	$26135$
162996566	240	020-002860-EM	139	162	$1693$ $2414$ $165$ $530$ $2427$ $816$ $262$ $56$ $2419$ $2423$ $2425$ $46$
162996567	1252	107-002313-EM	73	87	$4945$ $16$ $1266$ $2638$ $151$ $167$ $2841$ $247$ $1351$ $2507$ $82350$ $46$
162996567	1252	107-002313-EM	73	87	$4945$ $56$ $150$ $16$ $1266$ $262$ $18717$ $56$ $1406$ $5169$ $16$ $472$ $434$ $87$ $523$ $52$ $602$ $46$
162996568	1126	089-002153-EM	111	131	$305$ $56$ $486$ $140$ $150$ $16$ $2434$ $1476$ UNK $605$ $419$ $12399$ $16$ $486$ $1724$
162996568	1126	089-002153-EM	111	131	$26135$
162996569	299	032-000057-EM	62	93	$5471$ $56$ $2688$ $642$ $1367$ $642$ $721$ $84$ $901$ $797$ $16$ $57$ $46$
162996569	299	032-000057-EM	62	93	$5471$ $246$ $92$ $1244$ $1055$ $142$ $642$ $2129$ $642$ $2689$ $2690$ $901$ $56$ $797$ $5$ $56$ $2692$ $84$ $56$ $57$ $46$
162996570	1207	096-004387-EM	33	50	$829$ $2708$ $247$ $1845$ $2711$ $16$ $2701$
162996570	1207	096-004387-EM	33	50	$11327$ $2707$ $665$ $1225$ $56$ $1038$ $84$ $1845$ $2708$ $642$ $2709$ $95$ $829$ $16$ $2804$ $46$
162996571	1069	084-003019-EM	75	98	$163$ $1954$ $165$ $530$ $2829$ $1053$ $2830$
162996571	1069	084-003019-EM	75	98	$1609$ $1953$ $165$ $530$ $251$ $2819$ $2820$ $253$ $56$ $520$ $1053$ $2830$ $289$ $56$ $520$ $245$ $46$
162996572	1054	082-000321-EM	40	84	$821$ $616$ $2637$ $16$ $2914$ $2915$ $122$ $2917$ $2911$ $167$ $247$ $891$ $841$ $46$
162996572	1054	082-000321-EM	40	84	$1434$ $822$ $616$ $666$ $216$ $2910$
162996573	968	068-007351-EM	20	26	$59$ $3036$ $61$ $233$ $428$ $56$ $3041$ $3043$ $895$
162996573	968	068-007351-EM	20	26	$1693$ $3035$ $61$ $530$ $3040$ $3042$ $895$ $46$
162996574	985	069-002301-EM	5	11	$1693$ $3045$ $61$ $262$ $14860$ $56$ $310$ $1179$ $17$ $3052$ $232$ $3051$ $46$
162996574	985	069-002301-EM	5	11	$1693$ $3045$ $61$ $530$ $293$ $3052$ $16$ $590$ $46$
162996575	488	055-005513-EM	29	49	$6078$ $84$ $3093$ $122$ $1815$ $518$ $84$ $1233$ $233$ $209$ $665$ $109$ $46$
162996575	488	055-005513-EM	29	49	$6078$ $84$ $209$ $262$ $5092$ $530$ $56$ UNK $744$ $132$ $58$ $786$ $232$ $3091$ $366$ $46$
162996576	1189	093-006595-EM	34	38	$2249$ $84$ $3166$ $1406$ $3168$ $84$ $3169$ $341$ $2944$ $253$ $2975$ $3170$ $46$
162996576	1189	093-006595-EM	34	38	$750$
162996577	921	068-003838-EM	88	94	$59$ $30$ $61$ $530$ $3217$ $3218$ $46$
162996577	921	068-003838-EM	88	94	$1693$ $30$ $61$ $530$ $387$ $3218$ $46$
162996578	1307	111-000350-EM	77	83	$1693$ $354$ $61$ $530$ $3237$ $1607$ $46$
162996578	1307	111-000350-EM	77	83	$59$ $354$ $61$ $530$ $3237$ $1607$ $17$ $3239$ $232$ $3240$ $3241$ $46$
162996579	635	061-001677-EM	81	96	$222$ $3311$ $16$ $426$ $2077$ $216$ $3313$ $611$ $122$ $520$ $914$ $613$ $262$ $612$ $46$
162996579	635	061-001677-EM	81	96	$3791$ $3311$ $507$ $16$ $426$ $2077$ $216$ $3313$ $611$ $122$ $520$ $914$ $262$ $56$ $612$ $233$ $71$ $46$
162996580	946	068-005511-EM	65	71	$59$ $30$ $61$ $530$ $364$ $46$
162996580	946	068-005511-EM	65	71	$1693$ $30$ $61$ $530$ $364$ $46$
162996581	999	077-000503-EM	52	74	$57$ $134$ UNK $341$ $3361$ $3363$ $327$ $3365$ UNK $140$ $2919$ $46$
162996581	999	077-000503-EM	52	74	$9668$ $341$ $3362$ $3364$ $89$ $57$ $134$ $3365$ $150$ $46$
162996582	377	046-001993-EM	32	48	$367$ $16$ $251$ $313$ $665$ $2080$ $507$ $434$ $2388$ $58$ $496$ $84$ $3422$ $46$
162996582	377	046-001993-EM	32	48	$26135$
162996583	446	053-002110-EM	94	126	$163$ $892$ $165$ $132$ $3313$ $262$ $1662$
162996583	446	053-002110-EM	94	126	$1609$ $1491$ $165$ $530$ $3436$ $262$ $1661$ $87$ $667$ $3454$ $46$
162996584	882	068-000281-EM	33	39	$59$ $31$ $61$ $530$ $618$ $247$ $365$ $366$
162996584	882	068-000281-EM	33	39	$59$ $31$ $61$ $530$ $365$ $366$
162996585	621	060-002076-EM	26	34	$306$ $2427$ $150$ $233$ $3579$ $3580$ $16$ $3565$ $46$
162996585	621	060-002076-EM	26	34	$306$ $2427$ $150$ $530$ $3579$ $3580$ $232$ $3581$ $46$
162996586	607	059-007501-EM	67	80	$3611$ $16$ $2156$ $247$ $56$ $369$ $3613$ $530$ UNK $3600$ $1001$ $1415$ $262$ $3602$ $419$ $3589$ $29830$ $46$
162996586	607	059-007501-EM	67	80	$3611$ $3612$ $1777$ $16$ $2156$ $247$ $56$ $369$ $3613$ $46$
162996587	1258	107-003617-EM	89	96	$7544$ $16$ $3651$ $530$ $2841$ $247$ $3657$ $2693$
162996587	1258	107-003617-EM	89	96	$251$ $223$ $16$ $3659$ $530$ UNK $3655$ $247$ $3656$ $3658$ $46$
162996588	859	063-021223-EM	45	72	$2716$ $1225$ $7$ $3692$ $16$ $2047$ $1210$ $247$ $612$ $2841$ $46$
162996588	859	063-021223-EM	45	72	$1225$ $3693$ $82$ $2047$ $1210$ $247$ $901$ $56$ $787$ $5$ $3693$ $665$ $1210$ $3708$ $254$ $1183$
162996589	582	058-000061-EM	12	62	$1225$ $753$ $233$ $3912$ UNK $16$ $574$ $460$ $507$
162996589	582	058-000061-EM	12	62	$5471$ $1669$ $753$ $16$ $573$ $3918$ $460$ $507$ $46$
162996590	254	022-002625-EM	63	107	$590$ $901$ $247$ $56$ $4017$
162996590	254	022-002625-EM	63	107	$2862$ $16$ $590$ $368$ $84$ $4016$ $46$
162996591	751	063-008758-EM	323	329	$59$ $205$ $61$ $2834$ $530$ $681$ $665$ $1519$ $4113$ $2963$ $1183$ $46$
162996591	751	063-008758-EM	323	329	$1693$ $204$ $61$ $530$ $3500$ $1335$ $247$ $707$ $4069$ $122$ $39$ $4071$ $46$
162996592	826	063-018378-EM	139	162	$89$ $2414$ $496$ $497$ $151$ $56$ $474$ $48$ $49$ $17$ $18$ $58$ $2442$ $16$ $251$ $1303$ $2443$ $16$ $1284$ $1409$ $901$ $56$ $2439$ $846$ $51$ $518$ $327$ $16$ $327$ $374$ $84$ $56$ $160$ $739$ $46$
162996592	826	063-018378-EM	139	162	$2442$ $16$ $251$ $1303$ $2443$ $262$ $2420$ $2421$ $2424$ $2426$ $46$
162996593	1019	080-004237-EM	122	146	$151$ $4065$ $4067$ $3619$ $56$ $1365$ $642$ $77022$ $642$ $225$ $94$ $4148$ $56$ $3752$ $829$
162996593	1019	080-004237-EM	122	146	$151$ $4064$ $4066$ $3619$ $56$ $1365$ $642$ $2129$ $642$ $225$ $94$ $4148$ $132$ $56$ $724$ $1038$ $498$ $16$ $3752$ $829$ $46$
162996594	673	062-061612-EM	32	44	$222$ $4157$ $530$ $1570$ UNK $1724$ $262$ $4161$ $240$ $9919$ $858$
162996594	673	062-061612-EM	32	44	$222$ $4157$ $262$ $82$ $4155$ $1724$ $419$ $1649$ $223$ $16$ $56$ $858$ $46$
162996595	900	068-001679-EM	79	85	$59$ $3035$ $61$ $530$ UNK $420$ $46$
162996595	900	068-001679-EM	79	85	$59$ $30$ $61$ $530$ $1424$ $46$
162996596	212	017-000422-EM	73	93	$741$ $578$ $233$ $466$ $247$ $56$ $2127$ $262$ $56$ $2123$ $2125$ $3129$ $247$ $56$ $2143$ $1982$ $1775$ $18$ $251$ $253$ $56$ $858$ $46$
162996596	212	017-000422-EM	73	93	$741$ $247$ $56$ $2128$ $262$ $2124$ $463$ $1775$ $43$ $251$ $253$ $56$ $858$ $46$
162996597	1075	084-006024-EM	30	34	$3826$ $18712$ $1296$ $366$ $16$ $559$ $46$
162996597	1075	084-006024-EM	30	34	$3826$ $118$ $1085$ $327$ $330$ $16$ $558$ $46$
162996598	843	063-020188-EM	83	106	$306$ $7$ UNK $7$ $56$ $1818$ $419$ $56$ $433$ $87$ $492$ $46$
162996598	843	063-020188-EM	83	106	$305$ $56$ $1818$ $4380$ $16$ UNK $419$ $56$ $56$ $433$ $3810$ $492$ $46$
162996599	965	068-007065-EM	29	49	$12827$ $478$ $233$ $4391$ $16$ $4393$ $46$
162996599	965	068-007065-EM	29	49	$1000$ $350$ $478$ $530$ $1263$ $247$ $4392$ $2404$ $46$
162996600	415	049-002651-EM	139	158	$390$ $84$ $563$ $520$ $607$ $16$ $4527$ $56$ $4510$ $16$ $1729$ $2210$ $4535$ $232$ $56$ $4536$
162996600	415	049-002651-EM	139	158	$390$ $84$ $563$ $16$ $4527$ $56$ $4510$ $16$ $1729$ $2210$ $4535$ $232$ $56$ $4536$ $46$
162996601	982	069-001927-EM	57	70	$163$ $4646$ $165$ $530$ $4184$ $665$ $4626$ $4628$ $46$
162996601	982	069-001927-EM	57	70	$163$ $4647$ $165$ $530$ $4185$ $665$ $4627$ $4628$ $1498$ $460$ $4644$
162996602	801	063-017081-EM	19	27	$1263$ $1198$ $463$ $1260$ $122$ $1000$ $1784$ $16$ $4663$
162996602	801	063-017081-EM	19	27	$1263$ $1197$ $2125$ $1259$ $46$
162996603	590	058-002707-EM	14	30	$6035$ $525$ $122$ $4696$ $16$ $56$ $4695$ $69$ $460$ $4689$ $122$ $1225$ $1491$ $223$ $16$ $4689$ $46$
162996603	590	058-002707-EM	14	30	$1191$ $690$ $525$ $122$ $4696$ $16$ $4695$ $122$ $1225$ $223$ $16$ $4690$ $46$
162996604	915	068-003020-EM	8	25	$1284$ UNK $56$ $4698$ $122$ $251$ $223$ $16$ $225$ $642$ $2129$ $642$ $721$
162996604	915	068-003020-EM	8	25	$1284$ $56$ $4698$ $247$ $362$ $122$ $251$ $223$ $16$ $224$ $1247$ $46$
162996605	509	055-010485-EM	35	41	$59$ $31$ $61$ $530$ UNK $4702$ $4704$ $3088$
162996605	509	055-010485-EM	35	41	$59$ $30$ $61$ $530$ $4707$ $4709$ $122$ $2501$ $4711$ $46$
162996606	501	055-009605-EM	52	58	$59$ $3305$ $61$ $530$ $56$ $2776$ $4751$ $262$ $620$ $46$
